CDT Code,Full Description,Short Description,Category,Standard Fee ($),PPO Fee ($)
D5650,add tooth to existing partial denture,,Rest / Prosth • Remov,2350.0,1880.0
D5660,add clasp to existing partial denture - per tooth,,Rest / Prosth • Remov,2350.0,1880.0
D5670,replace all teeth and acrylic on cast metal framework (maxillary),,Rest / Prosth • Remov,1500.0,1200.0
D5671,replace all teeth and acrylic on cast metal framework (mandibular),,Rest / Prosth • Remov,1500.0,1200.0
D5710,rebase complete maxillary denture,,Rest / Prosth • Remov,2050.0,1640.0
D5711,rebase complete mandibular denture,,Rest / Prosth • Remov,2050.0,1640.0
D5720,rebase maxillary partial denture,,Rest / Prosth • Remov,2350.0,1880.0
D5721,rebase mandibular partial denture,,Rest / Prosth • Remov,2350.0,1880.0
D5730,reline complete maxillary denture (direct),,Rest / Prosth • Remov,2050.0,1640.0
D5731,reline complete mandibular denture (direct),,Rest / Prosth • Remov,2050.0,1640.0
D5740,reline maxillary partial denture (direct),,Rest / Prosth • Remov,2350.0,1880.0
D5741,reline mandibular partial denture (direct),,Rest / Prosth • Remov,2350.0,1880.0
D5750,reline complete maxillary denture (indirect),,Rest / Prosth • Remov,2050.0,1640.0
D5751,reline complete mandibular denture (indirect),,Rest / Prosth • Remov,2050.0,1640.0
D5760,reline maxillary partial denture (indirect),,Rest / Prosth • Remov,2350.0,1880.0
D5761,reline mandibular partial denture (indirect),,Rest / Prosth • Remov,2350.0,1880.0
D5810,interim complete denture (maxillary),,Rest / Prosth • Remov,2050.0,1640.0
D5811,interim complete denture (mandibular),,Rest / Prosth • Remov,2050.0,1640.0
D5820,"interim partial denture (including retentive/clasping materials, rests, and teeth), maxillary",,Rest / Prosth • Remov,2350.0,1880.0
D5821,"interim partial denture (including retentive/clasping materials, rests, and teeth), mandibular",,Rest / Prosth • Remov,2350.0,1880.0
D5850,"tissue conditioning, maxillary",,Rest / Prosth • Remov,1500.0,1200.0
D5851,"tissue conditioning, mandibular",,Rest / Prosth • Remov,1500.0,1200.0
D5862,"precision attachment, by report",,Rest / Prosth • Remov,1500.0,1200.0
D5863,overdenture – complete maxillary,,Rest / Prosth • Remov,2050.0,1640.0
D5864,overdenture – partial maxillary,,Rest / Prosth • Remov,2350.0,1880.0
D5865,overdenture – complete mandibular,,Rest / Prosth • Remov,2050.0,1640.0
D5866,overdenture – partial mandibular,,Rest / Prosth • Remov,2350.0,1880.0
D5867,replacement of replaceable part of semi-precision or precision attachment (male or female component),,Rest / Prosth • Remov,1500.0,1200.0
D5875,modification of removable prosthesis following implant surgery,,Rest / Prosth • Remov,1500.0,1200.0
D5876,add metal substructure to acrylic full denture (per arch),,Rest / Prosth • Remov,2000.0,1600.0
D5899,"unspecified removable prosthodontic procedure, by report",,Rest / Prosth • Remov,1500.0,1200.0
D5911,facial moulage (sectional),,Rest / Prosth • Remov,1500.0,1200.0
D5912,facial moulage (complete),,Rest / Prosth • Remov,1500.0,1200.0
D5913,nasal prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5914,auricular prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5915,orbital prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5916,ocular prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5919,facial prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5922,nasal septal prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5923,"ocular prosthesis, interim",,Rest / Prosth • Remov,1500.0,1200.0
D5924,cranial prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5925,facial augmentation implant prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5926,"nasal prosthesis, replacement",,Rest / Prosth • Remov,1500.0,1200.0
D5927,"auricular prosthesis, replacement",,Rest / Prosth • Remov,1500.0,1200.0
D5928,"orbital prosthesis, replacement",,Rest / Prosth • Remov,1500.0,1200.0
D5929,"facial prosthesis, replacement",,Rest / Prosth • Remov,1500.0,1200.0
D5931,"obturator prosthesis, surgical",,Rest / Prosth • Remov,1500.0,1200.0
D5932,"obturator prosthesis, definitive",,Rest / Prosth • Remov,1500.0,1200.0
D5933,"obturator prosthesis, modification",,Rest / Prosth • Remov,1500.0,1200.0
D5934,mandibular resection prosthesis with guide flange,,Rest / Prosth • Remov,1500.0,1200.0
D5935,mandibular resection prosthesis without guide flange,,Rest / Prosth • Remov,1500.0,1200.0
D5936,"obturator prosthesis, interim",,Rest / Prosth • Remov,1500.0,1200.0
D5937,trismus appliance (not for TMD treatment),,Rest / Prosth • Remov,1500.0,1200.0
D5951,feeding aid,,Rest / Prosth • Remov,1500.0,1200.0
D5952,"speech aid prosthesis, pediatric",,Rest / Prosth • Remov,1500.0,1200.0
D5953,"speech aid prosthesis, adult",,Rest / Prosth • Remov,1500.0,1200.0
D5954,palatal augmentation prosthesis,,Rest / Prosth • Remov,1500.0,1200.0
D5955,"palatal lift prosthesis, definitive",,Rest / Prosth • Remov,1500.0,1200.0
D5958,"palatal lift prosthesis, interim",,Rest / Prosth • Remov,1500.0,1200.0
D5959,"palatal lift prosthesis, modification",,Rest / Prosth • Remov,1500.0,1200.0
D5960,"speech aid prosthesis, modification",,Rest / Prosth • Remov,1500.0,1200.0
D5982,surgical stent,,Rest / Prosth • Remov,1500.0,1200.0
D5983,radiation carrier,,Rest / Prosth • Remov,1500.0,1200.0
D5984,radiation shield,,Rest / Prosth • Remov,1500.0,1200.0
D5985,radiation cone locator,,Rest / Prosth • Remov,1500.0,1200.0
D5986,fluoride gel carrier,,Rest / Prosth • Remov,1500.0,1200.0
D5987,commissure splint,,Rest / Prosth • Remov,1500.0,1200.0
D5988,surgical splint,,Rest / Prosth • Remov,1500.0,1200.0
D5991,vesiculobullous disease medicament carrier,,Rest / Prosth • Remov,1500.0,1200.0
D5992,"adjust maxillofacial prosthetic appliance, by report",,Rest / Prosth • Remov,1500.0,1200.0
D5993,"maintenance and cleaning of a maxillofacial prosthesis (extra- or intra-oral) other than required adjustments, by report",,Rest / Prosth • Remov,1500.0,1200.0
D5994,periodontal medicament carrier with peripheral seal – laboratory processed,,Rest / Prosth • Remov,1500.0,1200.0
D5995,periodontal medicament carrier with peripheral seal – laboratory processed – maxillary,,Rest / Prosth • Remov,1500.0,1200.0
D5996,periodontal medicament carrier with peripheral seal – laboratory processed – mandibular,,Rest / Prosth • Remov,1500.0,1200.0
D5999,"unspecified maxillofacial prosthesis, by report",,Rest / Prosth • Remov,1500.0,1200.0
D6010,surgical placement of implant body: endosteal implant,Implant Placement,Implants,2300.0,1840.0
D6011,surgical access to an implant body (second stage implant surgery),,Implants,1500.0,1200.0
D6012,surgical placement of interim implant body for transitional prosthesis: endosteal implant,,Implants,2300.0,1840.0
D6013,surgical placement of mini implant,,Implants,2300.0,1840.0
D6040,surgical placement: eposteal implant,,Implants,2300.0,1840.0
D6050,surgical placement: transosteal implant,,Implants,2300.0,1840.0
D6051,interim abutment,,Implants,1200.0,960.0
D6052,semi-precision attachment abutment,,Implants,1200.0,960.0
D6055,connecting bar – implant supported or abutment supported,,Implants,680.0,544.0
D6056,prefabricated abutment – includes modification and placement,Custom Abutment,Implants,680.0,544.0
D6057,custom fabricated abutment – includes placement,,Implants,1200.0,960.0
D6058,abutment supported porcelain/ceramic crown,,Implants,1250.0,1000.0
D6059,abutment supported porcelain fused to metal crown (high noble metal),,Implants,1250.0,1000.0
D6060,abutment supported porcelain fused to metal crown (predominantly base metal),,Implants,1250.0,1000.0
D6061,abutment supported porcelain fused to metal crown (noble metal),,Implants,1250.0,1000.0
D6062,abutment supported cast metal crown (high noble metal),,Implants,1100.0,880.0
D6063,abutment supported cast metal crown (predominantly base metal),,Implants,1100.0,880.0
D6064,abutment supported cast metal crown (noble metal),,Implants,1100.0,880.0
D6065,implant supported porcelain/ceramic crown,Implant Crown,Implants,1550.0,1240.0
D6066,implant supported crown - porcelain fused to high noble alloys,,Implants,1550.0,1240.0
D6067,implant supported crown - high noble alloys,,Implants,1550.0,1240.0
D6068,abutment supported retainer for porcelain/ceramic FPD,,Implants,1250.0,1000.0
D6069,abutment supported retainer for porcelain fused to metal FPD (high noble metal),,Implants,1250.0,1000.0
D6070,abutment supported retainer for porcelain fused to metal FPD (predominantly base metal),,Implants,1250.0,1000.0
D6071,abutment supported retainer for porcelain fused to metal FPD (noble metal),,Implants,1250.0,1000.0
D6072,abutment supported retainer for cast metal FPD (high noble metal),,Implants,1100.0,880.0
D6073,abutment supported retainer for cast metal FPD (predominantly base metal),,Implants,1100.0,880.0
D6074,abutment supported retainer for cast metal FPD (noble metal),,Implants,1100.0,880.0
D6075,implant supported retainer for ceramic FPD,,Implants,1500.0,1200.0
D6076,implant supported retainer for FPD - porcelain fused to high noble alloys,,Implants,1500.0,1200.0
D6077,implant supported retainer for metal FPD - high noble alloys,,Implants,1500.0,1200.0
D6080,"implant maintenance procedures when prostheses are removed and reinserted, including cleansing of prostheses and abutments",,Implants,680.0,544.0
D6081,"scaling and debridement in the presence of inflammation or mucositis of a single implant, including cleaning of the implant surfaces, without flap entry and closure",,Implants,1500.0,1200.0
D6082,implant supported crown - porcelain fused to predominantly base alloys,,Implants,1550.0,1240.0
D6083,implant supported crown - porcelain fused to noble alloys,,Implants,1550.0,1240.0
D6084,implant supported crown - porcelain fused to titanium and titanium alloys,,Implants,1550.0,1240.0
D6085,provisional implant crown,,Implants,1550.0,1240.0
D6086,implant supported crown - predominantly base alloys,,Implants,1550.0,1240.0
D6087,implant supported crown - noble alloys,,Implants,1550.0,1240.0
D6088,implant supported crown - titanium and titanium alloys,,Implants,1550.0,1240.0
D6090,"repair implant supported prosthesis, by report",,Implants,1500.0,1200.0
D6091,"replacement of replaceable part of semi-precision or precision attachment (male or female component) of implant/abutment supported prosthesis, per attachment",,Implants,2300.0,1840.0
D6092,re-cement or re-bond implant/abutment supported crown,,Implants,1550.0,1240.0
D6093,re-cement or re-bond implant/abutment supported fixed partial denture,,Implants,680.0,544.0
D6094,abutment supported crown - titanium and titanium alloys,,Implants,1100.0,880.0
D6095,"repair implant abutment, by report",,Implants,680.0,544.0
D6096,remove broken implant retaining screw,,Implants,1500.0,1200.0
D6097,abutment supported crown - porcelain fused to titanium and titanium alloys,,Implants,1250.0,1000.0
D6098,implant supported retainer - porcelain fused to predominantly base alloys,,Implants,1500.0,1200.0
D6099,implant supported retainer for FPD - porcelain fused to noble alloys,,Implants,1500.0,1200.0
D6100,"implant removal, by report",,Implants,1500.0,1200.0
D6101,"debridement of a peri-implant defect or defects surrounding a single implant, and surface cleaning of the exposed implant surfaces, including flap entry and closure",,Implants,1500.0,1200.0
D6102,"debridement and osseous contouring of a peri-implant defect or defects surrounding a single implant and includes surface cleaning of the exposed implant surfaces, including flap entry",,Implants,1500.0,1200.0
D6103,bone graft for repair of peri-implant defect – does not include flap entry and closure,,Implants,1500.0,1200.0
D6104,bone graft at time of implant placement,Sinus Lift,Implants,1350.0,1080.0
D6110,implant /abutment supported removable denture for edentulous arch – maxillary,,Implants,680.0,544.0
D6111,implant /abutment supported removable denture for edentulous arch – mandibular,,Implants,680.0,544.0
D6112,implant /abutment supported removable denture for partially edentulous arch – maxillary,,Implants,680.0,544.0
D6113,implant /abutment supported removable denture for partially edentulous arch – mandibular,,Implants,680.0,544.0
D6114,implant /abutment supported fixed denture for edentulous arch – maxillary,,Implants,680.0,544.0
D6115,implant /abutment supported fixed denture for edentulous arch – mandibular,,Implants,680.0,544.0
D6116,implant /abutment supported fixed denture for partially edentulous arch – maxillary,,Implants,680.0,544.0
D6117,implant /abutment supported fixed denture for partially edentulous arch – mandibular,,Implants,680.0,544.0
D6118,implant/abutment supported interim fixed denture for edentulous arch – mandibular,,Implants,680.0,544.0
D6119,implant/abutment supported interim fixed denture for edentulous arch – maxillary,,Implants,680.0,544.0
D6120,implant supported retainer – porcelain fused to titanium and titanium alloys,,Implants,1500.0,1200.0
D6121,implant supported retainer for metal FPD – predominantly base alloys,,Implants,1500.0,1200.0
D6122,implant supported retainer for metal FPD – noble alloys,,Implants,1500.0,1200.0
D6123,implant supported retainer for metal FPD – titanium and titanium alloys,,Implants,1500.0,1200.0
D6190,"radiographic/surgical implant index, by report",,Implants,1500.0,1200.0
D6191,semi-precision abutment – placement,,Implants,1200.0,960.0
D6192,semi-precision attachment – placement,,Implants,1200.0,960.0
D6194,abutment supported retainer crown for FPD – titanium and titanium alloys,,Implants,1100.0,880.0
D6195,abutment supported retainer - porcelain fused to titanium and titanium alloys,,Implants,1250.0,1000.0
D6199,"unspecified implant procedure, by report",,Implants,1500.0,1200.0
D6205,pontic - indirect resin based composite,,Rest / Prosth • Fixed,1100.0,880.0
D6210,pontic - cast high noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6211,pontic - cast predominantly base metal,,Rest / Prosth • Fixed,1100.0,880.0
D6212,pontic - cast noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6214,pontic - titanium and titanium alloys,,Rest / Prosth • Fixed,1100.0,880.0
D6240,pontic - porcelain fused to high noble metal,,Rest / Prosth • Fixed,1250.0,1000.0
D6241,pontic - porcelain fused to predominantly base metal,,Rest / Prosth • Fixed,1250.0,1000.0
D6242,pontic - porcelain fused to noble metal,,Rest / Prosth • Fixed,1250.0,1000.0
D6243,pontic - porcelain fused to titanium and titanium alloys,,Rest / Prosth • Fixed,1250.0,1000.0
D6245,pontic - porcelain/ceramic,,Rest / Prosth • Fixed,1250.0,1000.0
D6250,pontic - resin with high noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6251,pontic - resin with predominantly base metal,,Rest / Prosth • Fixed,1100.0,880.0
D6252,pontic - resin with noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6253,provisional pontic - further treatment or completion of diagnosis necessary prior to final  impression,,Rest / Prosth • Fixed,1100.0,880.0
D6545,retainer - cast metal for resin bonded fixed prosthesis,,Rest / Prosth • Fixed,1100.0,880.0
D6548,retainer - porcelain/ceramic for resin bonded fixed prosthesis,,Rest / Prosth • Fixed,1250.0,1000.0
D6549,retainer – for resin bonded fixed prosthesis,,Rest / Prosth • Fixed,1100.0,880.0
D6600,"retainer inlay - porcelain/ceramic, two surfaces",,Rest / Prosth • Fixed,1250.0,1000.0
D6601,"retainer inlay - porcelain/ceramic, three or more surfaces",,Rest / Prosth • Fixed,1250.0,1000.0
D6602,"retainer inlay - cast high noble metal, two surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6603,"retainer inlay - cast high noble metal, three or more surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6604,"retainer inlay - cast predominantly base metal, two surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6605,"retainer inlay - cast predominantly base metal, three or more surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6606,"retainer inlay - cast noble metal, two surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6607,"retainer inlay - cast noble metal, three or more surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6608,"retainer onlay - porcelain/ceramic, two surfaces",,Rest / Prosth • Fixed,1250.0,1000.0
D6609,"retainer onlay - porcelain/ceramic, three or more surfaces",,Rest / Prosth • Fixed,1250.0,1000.0
D6610,"retainer onlay - cast high noble metal, two surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6611,"retainer onlay - cast high noble metal, three or more surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6612,"retainer onlay - cast predominantly base metal, two surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6613,"retainer onlay - cast predominantly base metal, three or more surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6614,"retainer onlay - cast noble metal, two surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6615,"retainer onlay - cast noble metal, three or more surfaces",,Rest / Prosth • Fixed,1100.0,880.0
D6624,retainer inlay - titanium,,Rest / Prosth • Fixed,1100.0,880.0
D6634,retainer onlay - titanium,,Rest / Prosth • Fixed,1100.0,880.0
D6710,retainer crown - indirect resin based composite,,Rest / Prosth • Fixed,1100.0,880.0
D6720,retainer crown - resin with high noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6721,retainer crown - resin with predominantly base metal,,Rest / Prosth • Fixed,1100.0,880.0
D6722,retainer crown - resin with noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6740,retainer crown - porcelain/ceramic,,Rest / Prosth • Fixed,1250.0,1000.0
D6750,retainer crown - porcelain fused to high noble metal,,Rest / Prosth • Fixed,1250.0,1000.0
D6751,retainer crown - porcelain fused to predominantly base metal,,Rest / Prosth • Fixed,1250.0,1000.0
D6752,retainer crown - porcelain fused to noble metal,,Rest / Prosth • Fixed,1250.0,1000.0
D6753,retainer crown - porcelain fused to titanium and titanium alloys,,Rest / Prosth • Fixed,1250.0,1000.0
D6780,retainer crown - 3/4 cast high noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6781,retainer crown - 3/4 cast predominantly base metal,,Rest / Prosth • Fixed,1100.0,880.0
D6782,retainer crown - 3/4 cast noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6783,retainer crown - 3/4 porcelain/ceramic,,Rest / Prosth • Fixed,1250.0,1000.0
D6784,retainer crown ¾ - titanium and titanium alloys,,Rest / Prosth • Fixed,1100.0,880.0
D6790,retainer crown - full cast high noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6791,retainer crown - full cast predominantly base metal,,Rest / Prosth • Fixed,1100.0,880.0
D6792,retainer crown - full cast noble metal,,Rest / Prosth • Fixed,1100.0,880.0
D6793,provisional retainer crown - further treatment or completion of diagnosis necessary prior to final impression,,Rest / Prosth • Fixed,1100.0,880.0
D6794,retainer crown - titanium and titanium alloys,,Rest / Prosth • Fixed,1100.0,880.0
D6920,connector bar,,Rest / Prosth • Fixed,1200.0,960.0
D6930,re-cement or re-bond fixed partial denture,,Rest / Prosth • Fixed,1200.0,960.0
D6940,stress breaker,,Rest / Prosth • Fixed,1200.0,960.0
D6950,precision attachment,,Rest / Prosth • Fixed,1200.0,960.0
D6980,fixed partial denture repair necessitated by restorative material failure,,Rest / Prosth • Fixed,1200.0,960.0
D6985,"pediatric partial denture, fixed",,Rest / Prosth • Fixed,1200.0,960.0
D6999,"unspecified fixed prosthodontic procedure, by report",,Rest / Prosth • Fixed,1200.0,960.0
D7111,"extraction, coronal remnants – primary tooth",,Surgery,355.0,284.0
D7140,"extraction, erupted tooth or exposed root (elevation and/or forceps removal)",Simple Extraction,Surgery,225.0,180.0
D7210,"extraction, erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated",Surgical Extraction,Surgery,355.0,284.0
D7220,removal of impacted tooth - soft tissue,,Surgery,475.0,380.0
D7230,removal of impacted tooth - partially bony,,Surgery,525.0,420.0
D7240,removal of impacted tooth - completely bony,3rd Molar Imp Soft,Surgery,475.0,380.0
D7241,"removal of impacted tooth - completely bony, with unusual surgical complications",3rd Molar Imp Full,Surgery,575.0,460.0
D7250,removal of residual tooth roots (cutting procedure),,Surgery,500.0,400.0
D7251,coronectomy – intentional partial tooth removal,,Surgery,500.0,400.0
D7260,oroantral fistula closure,,Surgery,500.0,400.0
D7261,primary closure of a sinus perforation,,Surgery,500.0,400.0
D7270,tooth re-implantation and/or stabilization of accidentally evulsed or displaced tooth,,Surgery,500.0,400.0
D7272,tooth transplantation (includes re-implantation from one site to another and splinting and/or stabilization),,Surgery,500.0,400.0
D7280,exposure of an unerupted tooth,,Surgery,500.0,400.0
D7282,mobilization of erupted or malpositioned tooth to aid eruption,,Surgery,500.0,400.0
D7283,placement of device to facilitate eruption of impacted tooth,,Surgery,575.0,460.0
D7285,"incisional biopsy of oral tissue-hard (bone, tooth)",,Surgery,500.0,400.0
D7286,incisional biopsy of oral tissue-soft,,Surgery,500.0,400.0
D7287,exfoliative cytological sample collection,,Surgery,500.0,400.0
D7288,brush biopsy - transepithelial sample collection,,Surgery,500.0,400.0
D7290,surgical repositioning of teeth,,Surgery,500.0,400.0
D7291,"transseptal fiberotomy/supra crestal fiberotomy, by report",,Surgery,500.0,400.0
D7292,placement of temporary anchorage device [screw retained plate] requiring flap; includes device removal,,Surgery,500.0,400.0
D7293,placement of temporary anchorage device requiring flap; includes device removal,,Surgery,500.0,400.0
D7294,placement of temporary anchorage device without flap; includes device removal,,Surgery,500.0,400.0
D7295,harvest of bone for use in autogenous grafting procedure,,Surgery,500.0,400.0
D7296,"corticotomy – one to three teeth or tooth spaces, per quadrant",,Surgery,500.0,400.0
D7297,"corticotomy – four or more teeth or tooth spaces, per quadrant",,Surgery,500.0,400.0
D7310,"alveoloplasty in conjunction with extractions - four or more teeth or tooth spaces, per quadrant",Alveoloplasty,Surgery,385.0,308.0
D7311,"alveoloplasty in conjunction with extractions - one to three teeth or tooth spaces, per quadrant",,Surgery,355.0,284.0
D7320,"alveoloplasty not in conjunction with extractions - four or more teeth or tooth spaces, per quadrant",,Surgery,355.0,284.0
D7321,"alveoloplasty not in conjunction with extractions - one to three teeth or tooth spaces, per quadrant",,Surgery,355.0,284.0
D7340,vestibuloplasty - ridge extension (secondary epithelialization),,Surgery,500.0,400.0
D7350,"vestibuloplasty - ridge extension (including soft tissue grafts, muscle reattachment, revision of soft tissue attachment and management of hypertrophied and hyperplastic tissue)",,Surgery,500.0,400.0
D7410,excision of benign lesion up to 1.25 cm,,Surgery,500.0,400.0
D7411,excision of benign lesion greater than 1.25 cm,,Surgery,500.0,400.0
D7412,"excision of benign lesion, complicated",,Surgery,500.0,400.0
D7413,excision of malignant lesion up to 1.25 cm,,Surgery,500.0,400.0
D7414,excision of malignant lesion greater than 1.25 cm,,Surgery,500.0,400.0
D7415,"excision of malignant lesion, complicated",,Surgery,500.0,400.0
D7440,excision of malignant tumor - lesion diameter up to 1.25 cm,,Surgery,500.0,400.0
D7441,excision of malignant tumor - lesion diameter greater than 1.25 cm,,Surgery,500.0,400.0
D7450,removal of benign odontogenic cyst or tumor - lesion diameter up to 1.25 cm,,Surgery,500.0,400.0
D7451,removal of benign odontogenic cyst or tumor - lesion diameter greater than 1.25 cm,,Surgery,500.0,400.0
D7460,removal of benign nonodontogenic cyst or tumor - lesion diameter up to 1.25 cm,,Surgery,500.0,400.0
D7461,removal of benign nonodontogenic cyst or tumor - lesion diameter greater than 1.25 cm,,Surgery,500.0,400.0
D7465,"destruction of lesion(s) by physical or chemical method, by report",,Surgery,500.0,400.0
D7471,removal of lateral exostosis (maxilla or mandible),,Surgery,500.0,400.0
D7472,removal of torus palatinus,,Surgery,500.0,400.0
D7473,removal of torus mandibularis,,Surgery,500.0,400.0
D7485,reduction of osseous tuberosity,,Surgery,500.0,400.0
D7490,radical resection of maxilla or mandible,,Surgery,500.0,400.0
D7510,incision and drainage of abscess - intraoral soft tissue,,Surgery,500.0,400.0
D7511,incision and drainage of abscess - intraoral soft tissue - complicated (includes drainage of multiple fascial spaces),,Surgery,500.0,400.0
D7520,incision and drainage of abscess - extraoral soft tissue,,Surgery,500.0,400.0
D7521,incision and drainage of abscess - extraoral soft tissue - complicated (includes drainage of multiple fascial spaces),,Surgery,500.0,400.0
D7530,"removal of foreign body from mucosa, skin, or subcutaneous alveolar tissue",,Surgery,500.0,400.0
D7540,"removal of reaction producing foreign bodies, musculoskeletal system",,Surgery,500.0,400.0
D7550,partial ostectomy/sequestrectomy for removal of non-vital bone,,Surgery,500.0,400.0
D7560,maxillary sinusotomy for removal of tooth fragment or foreign body,,Surgery,500.0,400.0
D7610,"maxilla - open reduction (teeth immobilized, if present)",,Surgery,500.0,400.0
D7620,"maxilla - closed reduction (teeth immobilized, if present)",,Surgery,500.0,400.0
D7630,"mandible - open reduction (teeth immobilized, if present)",,Surgery,500.0,400.0
D7640,"mandible - closed reduction (teeth immobilized, if present)",,Surgery,500.0,400.0
D7650,malar and/or zygomatic arch - open reduction,,Surgery,500.0,400.0
D7660,malar and/or zygomatic arch - closed reduction,,Surgery,500.0,400.0
D7670,"alveolus - closed reduction, may include stabilization of teeth",,Surgery,500.0,400.0
D7671,"alveolus - open reduction, may include stabilization of teeth",,Surgery,500.0,400.0
D7680,facial bones - complicated reduction with fixation and multiple surgical approaches,,Surgery,500.0,400.0
D7710,maxilla - open reduction,,Surgery,500.0,400.0
D7720,maxilla - closed reduction,,Surgery,500.0,400.0
D7730,mandible - open reduction,,Surgery,500.0,400.0
D7740,mandible - closed reduction,,Surgery,500.0,400.0
D7750,malar and/or zygomatic arch - open reduction,,Surgery,500.0,400.0
D7760,malar and/or zygomatic arch - closed reduction,,Surgery,500.0,400.0
D7770,alveolus - open reduction stabilization of teeth,,Surgery,500.0,400.0
D7771,"alveolus, closed reduction stabilization of teeth",,Surgery,500.0,400.0
D7780,facial bones - complicated reduction with fixation and multiple approaches,,Surgery,500.0,400.0
D7810,open reduction of dislocation,,Surgery,500.0,400.0
D7820,closed reduction of dislocation,,Surgery,500.0,400.0
D7830,manipulation under anesthesia,,Surgery,500.0,400.0
D7840,condylectomy,,Surgery,500.0,400.0
D7850,"surgical discectomy, with/without implant",,Surgery,500.0,400.0
D7852,disc repair,,Surgery,500.0,400.0
D7854,synovectomy,,Surgery,500.0,400.0
D7856,myotomy,,Surgery,500.0,400.0
D7858,joint reconstruction,,Surgery,500.0,400.0
D7860,arthrotomy,,Surgery,500.0,400.0
D7865,arthroplasty,,Surgery,500.0,400.0
D7870,arthrocentesis,,Surgery,500.0,400.0
D7871,non-arthroscopic lysis and lavage,,Surgery,500.0,400.0
D7872,"arthroscopy - diagnosis, with or without biopsy",,Surgery,500.0,400.0
D7873,arthroscopy: lavage and lysis of adhesions,,Surgery,500.0,400.0
D7874,arthroscopy: disc repositioning and stabilization,,Surgery,500.0,400.0
D7875,arthroscopy: synovectomy,,Surgery,500.0,400.0
D7876,arthroscopy: discectomy,,Surgery,500.0,400.0
D7877,arthroscopy: debridement,,Surgery,500.0,400.0
D7880,"occlusal orthotic device, by report",,Surgery,500.0,400.0
D7881,occlusal orthotic device adjustment,,Surgery,500.0,400.0
D7899,"unspecified TMD therapy, by report",,Surgery,500.0,400.0
D7910,suture of recent small wounds up to 5 cm,,Surgery,500.0,400.0
D7911,complicated suture - up to 5 cm,,Surgery,500.0,400.0
D7912,complicated suture - greater than 5 cm,,Surgery,500.0,400.0
D7920,"skin graft (identify defect covered, location and type of graft)",,Surgery,500.0,400.0
D7921,collection and application of autologous blood concentrate product,,Surgery,500.0,400.0
D7922,"placement of intra-socket biological dressing to aid in hemostasis or clot stabilization, per site",,Surgery,500.0,400.0
D7940,osteoplasty - for orthognathic deformities,,Surgery,500.0,400.0
D7941,osteotomy - mandibular rami,,Surgery,500.0,400.0
D7943,osteotomy - mandibular rami with bone graft; includes obtaining the graft,,Surgery,500.0,400.0
D7944,osteotomy - segmented or subapical,,Surgery,500.0,400.0
D7945,osteotomy - body of mandible,,Surgery,500.0,400.0
D7946,LeFort I (maxilla - total),,Surgery,500.0,400.0
D7947,LeFort I (maxilla - segmented),,Surgery,500.0,400.0
D7948,LeFort II or LeFort III (osteoplasty of facial bones for midface hypoplasia or retrusion) - without bone graft,,Surgery,500.0,400.0
D7949,LeFort II or LeFort III - with bone graft,,Surgery,500.0,400.0
D7950,"osseous, osteoperiosteal, or cartilage graft of the mandible or maxilla - autogenous or nonautogenous, by report",,Surgery,500.0,400.0
D7951,sinus augmentation with bone or bone substitutes via a lateral open approach,,Surgery,500.0,400.0
D7952,sinus augmentation via a vertical approach,,Surgery,500.0,400.0
D7953,bone replacement graft for ridge preservation - per site,,Surgery,500.0,400.0
D7955,repair of maxillofacial soft and/or hard tissue defect,,Surgery,500.0,400.0
D7960,frenulectomy - also known as frenectomy or frenotomy - separate procedure not incidental to another procedure,Frenectomy,Surgery,450.0,360.0
D7961,buccal / labial frenectomy (frenulectomy),,Surgery,500.0,400.0
